time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
80,3.32957e-32,-3.30914e-19,5.9649e-21,7.17368e-11,3.44714e-21,1.66057e-05,1.64535e-35,2.63579e-17,-2.94517e-33,3.312e-19,1.04553e-17,2.76222e-33
81,3.32942e-32,-5.14238e-19,6.00695e-21,7.26335e-11,3.39515e-21,1.66057e-05,2.42169e-35,2.47608e-17,-4.33483e-33,5.14388e-19,1.46692e-17,4.04499e-33
82,3.32926e-32,-7.29609e-19,6.0497e-21,7.35302e-11,3.34269e-21,1.66057e-05,3.33055e-35,2.26648e-17,-5.96172e-33,7.29596e-19,1.9773e-17,5.54669e-33
83,3.32911e-32,-9.77025e-19,6.09314e-21,7.44269e-11,3.28977e-21,1.66057e-05,4.37194e-35,2.00697e-17,-7.82583e-33,9.76824e-19,2.57667e-17,7.26732e-33
84,3.32895e-32,-1.25649e-18,6.13726e-21,7.53236e-11,3.23639e-21,1.66057e-05,5.54586e-35,1.69756e-17,-9.92716e-33,1.25607e-18,3.26504e-17,9.20688e-33
85,3.3288e-32,-1.56799e-18,6.18207e-21,7.62203e-11,3.18255e-21,1.66057e-05,6.8523e-35,1.33826e-17,-1.22657e-32,1.56734e-18,4.0424e-17,1.13654e-32
86,3.32865e-32,-1.91155e-18,6.22758e-21,7.7117e-11,3.12824e-21,1.66057e-05,8.29126e-35,9.29057e-18,-1.48415e-32,1.91063e-18,4.90875e-17,1.37428e-32
87,3.32849e-32,-2.28715e-18,6.27377e-21,7.80137e-11,3.07347e-21,1.66057e-05,9.86275e-35,4.69954e-18,-1.76545e-32,2.28593e-18,5.86409e-17,1.63391e-32
88,3.32833e-32,-2.69479e-18,6.32065e-21,7.89104e-11,3.01824e-21,1.66057e-05,1.15668e-34,-3.90469e-19,-2.07047e-32,2.69326e-18,6.90843e-17,1.91544e-32
89,3.32818e-32,-3.13448e-18,6.36821e-21,7.98071e-11,2.96254e-21,1.66057e-05,1.34033e-34,-5.97947e-18,-2.39921e-32,3.13261e-18,8.04176e-17,2.21886e-32
90,3.32802e-32,-3.60622e-18,6.41647e-21,8.07038e-11,2.90639e-21,1.66057e-05,1.53724e-34,-1.20675e-17,-2.75168e-32,3.60398e-18,9.26408e-17,2.54417e-32
91,3.32787e-32,-4.11e-18,6.46541e-21,8.16005e-11,2.84977e-21,1.66057e-05,1.7474e-34,-1.86545e-17,-3.12787e-32,4.10737e-18,1.05754e-16,2.89138e-32
92,3.32771e-32,-4.64583e-18,6.51504e-21,8.24972e-11,2.79269e-21,1.66057e-05,1.97081e-34,-2.57404e-17,-3.52778e-32,4.64277e-18,1.19757e-16,3.26048e-32
93,3.32756e-32,-5.21371e-18,6.56537e-21,8.33939e-11,2.73514e-21,1.66057e-05,2.20747e-34,-3.33254e-17,-3.95141e-32,5.2102e-18,1.3465e-16,3.65147e-32
94,3.3274e-32,-5.81363e-18,6.61638e-21,8.42906e-11,2.67713e-21,1.66057e-05,2.45739e-34,-4.14094e-17,-4.39877e-32,5.80965e-18,1.50433e-16,4.06436e-32
95,3.32724e-32,-6.44559e-18,6.66807e-21,8.51873e-11,2.61866e-21,1.66057e-05,2.72056e-34,-4.99923e-17,-4.86985e-32,6.44112e-18,1.67106e-16,4.49913e-32
96,3.32709e-32,-7.1096e-18,6.72046e-21,8.6084e-11,2.55973e-21,1.66057e-05,2.99698e-34,-5.90742e-17,-5.36465e-32,7.1046e-18,1.84669e-16,4.9558e-32
97,3.32693e-32,-7.80566e-18,6.77354e-21,8.69807e-11,2.50034e-21,1.66057e-05,3.28665e-34,-6.86552e-17,-5.88317e-32,7.80011e-18,2.03121e-16,5.43437e-32
98,3.32677e-32,-8.53377e-18,6.8273e-21,8.78774e-11,2.44048e-21,1.66057e-05,3.58958e-34,-7.87351e-17,-6.42542e-32,8.52764e-18,2.22464e-16,5.93482e-32
99,3.32662e-32,-9.29391e-18,6.88175e-21,8.87741e-11,2.38016e-21,1.66057e-05,3.90576e-34,-8.9314e-17,-6.99138e-32,9.28719e-18,2.42697e-16,6.45717e-32
100,3.32646e-32,-1.00861e-17,6.9369e-21,8.96708e-11,2.31938e-21,1.66057e-05,4.23519e-34,-1.00392e-16,-7.58107e-32,1.00788e-17,2.63819e-16,7.00142e-32
